"Spartan Helmet Low Poly Modeling in Blender 3.3
Forging the Spartan Helmet: Mastering Low Poly Techniques in Blender","Mammoth Interactive, John Bura",Forging the Spartan Helmet: Mastering Low Poly Techniques in Blender,1 total hour,5 lectures,Beginner,New,,"₦11,900"
"Crafting a Living Room Scene in Blender 3.5
Designing Your Dream Living Room: A Masterclass in Blender 3.5","Mammoth Interactive, John Bura",Designing Your Dream Living Room: A Masterclass in Blender 3.5,2 total hours,7 lectures,Beginner,New,,"₦11,900"
"Blender Basics For Beginners Course
Designed for absolute beginners, this course is your stepping stone into the exciting realm of digital creation",Eldamar Studio,"Designed for absolute beginners, this course is your stepping stone into the exciting realm of digital creation",1 total hour,10 lectures,Beginner,New,,"₦11,900"
"Simple Watch Creation in Blender 3.3
Crafting Timeless Designs: Mastering Watch Creation in Blender 3.3","Mammoth Interactive, John Bura",Crafting Timeless Designs: Mastering Watch Creation in Blender 3.3,40 total mins,10 lectures,Beginner,New,,"₦11,900"
"Designing a Low Poly Bedroom and Bathroom in Blender 3.5
Crafting Serenity: Mastering Low Poly Bedroom and Bathroom Design in Blender 3.5","Mammoth Interactive, John Bura",Crafting Serenity: Mastering Low Poly Bedroom and Bathroom Design in Blender 3.5,1.5 total hours,6 lectures,Beginner,New,,"₦11,900"
"Designing a Detailed 3D Watch in Blender 3.3
Designing a Detailed 3D Watch in Blender 3.3","Mammoth Interactive, John Bura",Designing a Detailed 3D Watch in Blender 3.3,1.5 total hours,10 lectures,Beginner,New,,"₦11,900"
"Game Making with Blender and Building in Unity and Godot
Learn to create low-poly tileable environments in Blender for vibrant indie games!",3dmotive LLC,Learn to create low-poly tileable environments in Blender for vibrant indie games!,4.5 total hours,51 lectures,Beginner,New,,"₦13,900"
"Use Blender and Substance Painter to create This classic car
Develope 3D Modeling Skills using Blender and Substance Painter to create this amazing 3D Animation and 3D Rendering",Edward Harding,Develope 3D Modeling Skills using Blender and Substance Painter to create this amazing 3D Animation and 3D Rendering,35.5 total hours,148 lectures,All Levels,New,,"₦11,900"
"Advanced Sculpting for Ghost Figure in Blender 3
Sculpting Spectral Entities: Unleashing Creativity in Blender 3","Mammoth Interactive, John Bura",Sculpting Spectral Entities: Unleashing Creativity in Blender 3,36 total mins,5 lectures,Beginner,New,,"₦11,900"
"Crafting Complex Chess Pieces in Blender 3
Mastering Complex Chess Piece Design: Precision Crafting in Blender 3","Mammoth Interactive, John Bura",Mastering Complex Chess Piece Design: Precision Crafting in Blender 3,38 total mins,8 lectures,Beginner,New,,"₦11,900"
"Designing a Grand Window Room with Accessories in Blender 3
Grand Designs: Crafting a Luxurious Window Room with Accessories in Blender 3","Mammoth Interactive, John Bura",Grand Designs: Crafting a Luxurious Window Room with Accessories in Blender 3,1.5 total hours,6 lectures,Beginner,New,,"₦11,900"
"Blender jumpstart: Beginners Guide to Profitable 3D Designs
Kickstart Your Blender Journey and Turn Your Designs into Profit - Sell Any 3D Model",Ahmad Raza,Kickstart Your Blender Journey and Turn Your Designs into Profit - Sell Any 3D Model,1 total hour,11 lectures,Beginner,New,,"₦11,900"
"Constructing a Sci-Fi Room for a Futuristic Setting
Architecting Tomorrow: Designing Futuristic Spaces in Blender","Mammoth Interactive, John Bura",Architecting Tomorrow: Designing Futuristic Spaces in Blender,1.5 total hours,6 lectures,Beginner,New,,"₦11,900"
"Designing a Cozy Attic Workspace in 3D Using Blender 3.5
Crafting a Cozy Attic Workspace: A Blender 3.5 Masterclass","Mammoth Interactive, John Bura",Crafting a Cozy Attic Workspace: A Blender 3.5 Masterclass,1.5 total hours,6 lectures,Beginner,New,,"₦11,900"
"Modeling a Low Poly Knight in Blender 3.3
Forging Legends: Crafting Low Poly Knights in Blender 3.3","Mammoth Interactive, John Bura",Forging Legends: Crafting Low Poly Knights in Blender 3.3,1 total hour,14 lectures,Beginner,New,,"₦11,900"
"Animating Your Imagination: Blender 3D animated Illustration
Learn to create Dynamic 3D Animations from 2D artwork with the power of Blender",Aidan Wilson,Learn to create Dynamic 3D Animations from 2D artwork with the power of Blender,6 total hours,69 lectures,Intermediate,Hot & new,,"₦11,900"
